book,word,n
Prisoner of Azkaban,shop,14
Prisoner of Azkaban,single,14
Prisoner of Azkaban,slid,14
Prisoner of Azkaban,tom,14
Prisoner of Azkaban,waiting,14
Prisoner of Azkaban,win,14
Prisoner of Azkaban,wondering,14
Prisoner of Azkaban,angrily,13
Prisoner of Azkaban,arithmancy,13
Prisoner of Azkaban,attack,13
Prisoner of Azkaban,bar,13
Prisoner of Azkaban,bet,13
Prisoner of Azkaban,blood,13
Prisoner of Azkaban,bound,13
Prisoner of Azkaban,box,13
Prisoner of Azkaban,boys,13
Prisoner of Azkaban,breaking,13
Prisoner of Azkaban,butterbeer,13
Prisoner of Azkaban,cadogan,13
Prisoner of Azkaban,cried,13
Prisoner of Azkaban,cross,13
Prisoner of Azkaban,dare,13
Prisoner of Azkaban,dumbledore's,13
Prisoner of Azkaban,escaped,13
Prisoner of Azkaban,evening,13
Prisoner of Azkaban,explain,13
Prisoner of Azkaban,expression,13
Prisoner of Azkaban,familiar,13
Prisoner of Azkaban,feast,13
Prisoner of Azkaban,fence,13
Prisoner of Azkaban,final,13
Prisoner of Azkaban,fixed,13
Prisoner of Azkaban,flat,13
Prisoner of Azkaban,forgotten,13
Prisoner of Azkaban,frowning,13
Prisoner of Azkaban,future,13
Prisoner of Azkaban,girl,13
Prisoner of Azkaban,grinning,13
Prisoner of Azkaban,halt,13
Prisoner of Azkaban,hour,13
Prisoner of Azkaban,joined,13
Prisoner of Azkaban,knocked,13
Prisoner of Azkaban,landed,13
Prisoner of Azkaban,leaned,13
Prisoner of Azkaban,live,13
Prisoner of Azkaban,macnair,13
Prisoner of Azkaban,notice,13
Prisoner of Azkaban,o'clock,13
Prisoner of Azkaban,pain,13
Prisoner of Azkaban,passage,13
Prisoner of Azkaban,practice,13
Prisoner of Azkaban,putting,13
Prisoner of Azkaban,repeated,13
Prisoner of Azkaban,rose,13
Prisoner of Azkaban,safe,13
Prisoner of Azkaban,seeker,13
Prisoner of Azkaban,sky,13
Prisoner of Azkaban,smiling,13
Prisoner of Azkaban,soft,13
Prisoner of Azkaban,spent,13
Prisoner of Azkaban,walls,13
Prisoner of Azkaban,waving,13
Prisoner of Azkaban,beak,12
Prisoner of Azkaban,beat,12
Prisoner of Azkaban,bin,12
Prisoner of Azkaban,bludger,12
Prisoner of Azkaban,change,12
Prisoner of Azkaban,charm,12
Prisoner of Azkaban,color,12
Prisoner of Azkaban,cut,12
Prisoner of Azkaban,difficult,12
Prisoner of Azkaban,drive,12
Prisoner of Azkaban,effort,12
Prisoner of Azkaban,eh,12
Prisoner of Azkaban,expect,12
Prisoner of Azkaban,expelled,12
Prisoner of Azkaban,figure,12
Prisoner of Azkaban,flying,12
Prisoner of Azkaban,frightened,12
Prisoner of Azkaban,giving,12
Prisoner of Azkaban,gryffindors,12
Prisoner of Azkaban,helped,12
Prisoner of Azkaban,hoped,12
Prisoner of Azkaban,hot,12
Prisoner of Azkaban,ladder,12
Prisoner of Azkaban,leaves,12
Prisoner of Azkaban,london,12
Prisoner of Azkaban,lucky,12
Prisoner of Azkaban,marble,12
Prisoner of Azkaban,midair,12
Prisoner of Azkaban,missed,12
Prisoner of Azkaban,muttering,12
Prisoner of Azkaban,nodded,12
Prisoner of Azkaban,note,12
Prisoner of Azkaban,packed,12
Prisoner of Azkaban,pale,12
Prisoner of Azkaban,potters,12
Prisoner of Azkaban,prongs,12
Prisoner of Azkaban,quaffle,12
Prisoner of Azkaban,realized,12
Prisoner of Azkaban,round,12
Prisoner of Azkaban,saved,12
Prisoner of Azkaban,scarlet,12
Prisoner of Azkaban,seat,12
Prisoner of Azkaban,shadows,12
Prisoner of Azkaban,short,12
Prisoner of Azkaban,shrieking,12
Prisoner of Azkaban,silvery,12
Prisoner of Azkaban,skin,12
Prisoner of Azkaban,speaking,12
Prisoner of Azkaban,spotted,12
Prisoner of Azkaban,stepped,12
Prisoner of Azkaban,subject,12
Prisoner of Azkaban,suppose,12
Prisoner of Azkaban,tables,12
Prisoner of Azkaban,terrified,12
Prisoner of Azkaban,thirteen,12
Prisoner of Azkaban,tomorrow,12
Prisoner of Azkaban,tunnel,12
Prisoner of Azkaban,wardrobe,12
Prisoner of Azkaban,who'd,12
Prisoner of Azkaban,wide,12
Prisoner of Azkaban,wiping,12
Prisoner of Azkaban,yellow,12
Prisoner of Azkaban,afternoon,11
