book,bigram,n
Philosopher's Stone,eleven o'clock,6
Philosopher's Stone,fast asleep,6
Philosopher's Stone,fell asleep,6
Philosopher's Stone,flavor beans,6
Philosopher's Stone,goal posts,6
Philosopher's Stone,green light,6
Philosopher's Stone,gryffindor tower,6
Philosopher's Stone,headed dog,6
Philosopher's Stone,king's cross,6
Philosopher's Stone,miss granger,6
Philosopher's Stone,portrait hole,6
Philosopher's Stone,seamus finnigan,6
Philosopher's Stone,told yeh,6
Prisoner of Azkaban,dear boy,6
Prisoner of Azkaban,eyes fixed,6
Prisoner of Azkaban,gryffindor common,6
Prisoner of Azkaban,king's cross,6
Prisoner of Azkaban,magnolia crescent,6
Prisoner of Azkaban,moony wormtail,6
Prisoner of Azkaban,permission form,6
Prisoner of Azkaban,pumpkin patch,6
Prisoner of Azkaban,rat tonic,6
Prisoner of Azkaban,sleeping bags,6
Prisoner of Azkaban,spiral staircase,6
Chamber of Secrets,daily prophet,5
Chamber of Secrets,deathday party,5
Chamber of Secrets,diagon alley,5
Chamber of Secrets,dueling club,5
Chamber of Secrets,flying car,5
Chamber of Secrets,forbidden forest,5
Chamber of Secrets,front doors,5
Chamber of Secrets,gilderoy lockhart's,5
Chamber of Secrets,girls bathroom,5
Chamber of Secrets,goal posts,5
Chamber of Secrets,hagrid's house,5
Chamber of Secrets,head boy,5
Chamber of Secrets,hermione's hand,5
Chamber of Secrets,lee jordan,5
Chamber of Secrets,lockhart's books,5
Chamber of Secrets,prefect badge,5
Chamber of Secrets,quidditch match,5
Chamber of Secrets,quidditch team,5
Chamber of Secrets,speak parseltongue,5
Chamber of Secrets,spiral staircase,5
Chamber of Secrets,stepped forward,5
Deathly Hallows,balding wizard,5
Deathly Hallows,black haired,5
Deathly Hallows,blue eyes,5
Deathly Hallows,blue robes,5
Deathly Hallows,caught sight,5
Deathly Hallows,cruciatus curse,5
Deathly Hallows,dark wizard,5
Deathly Hallows,dirk cresswell,5
Deathly Hallows,dobby's grave,5
Deathly Hallows,dressing gown,5
Deathly Hallows,eyes fixed,5
Deathly Hallows,fidelius charm,5
Deathly Hallows,floo network,5
Deathly Hallows,fred george,5
Deathly Hallows,front doors,5
Deathly Hallows,front row,5
Deathly Hallows,gray hair,5
Deathly Hallows,grew louder,5
Deathly Hallows,gritted teeth,5
Deathly Hallows,gryffindor table,5
Deathly Hallows,happy birthday,5
Deathly Hallows,hermione's eyes,5
Deathly Hallows,hidden beneath,5
Deathly Hallows,leaky cauldron,5
Deathly Hallows,lift doors,5
Deathly Hallows,lost track,5
Deathly Hallows,magical eye,5
Deathly Hallows,marvolo gaunt,5
Deathly Hallows,masked death,5
Deathly Hallows,ministry workers,5
Deathly Hallows,mirror fragment,5
Deathly Hallows,moved closer,5
Deathly Hallows,navy blue,5
Deathly Hallows,reg cattermole,5
Deathly Hallows,ron's ears,5
Deathly Hallows,scar burned,5
Deathly Hallows,scar seared,5
Deathly Hallows,silver doe,5
Deathly Hallows,stone steps,5
Deathly Hallows,told kreacher,5
Deathly Hallows,tonks's parents,5
Deathly Hallows,voice echoing,5
Deathly Hallows,white hair,5
Goblet of Fire,beauxbatons students,5
Goblet of Fire,black hair,5
Goblet of Fire,bubotuber pus,5
Goblet of Fire,constant vigilance,5
Goblet of Fire,dark corridor,5
Goblet of Fire,deep breath,5
Goblet of Fire,diagon alley,5
Goblet of Fire,diggory badges,5
Goblet of Fire,diggory's head,5
Goblet of Fire,dressing gown,5
Goblet of Fire,dungeon door,5
Goblet of Fire,final task,5
Goblet of Fire,ginger roots,5
Goblet of Fire,golden thread,5
Goblet of Fire,gritted teeth,5
Goblet of Fire,ha ha,5
Goblet of Fire,half moon,5
Goblet of Fire,hogwarts school,5
Goblet of Fire,hot water,5
Goblet of Fire,hufflepuff house,5
Goblet of Fire,hungarian horntail,5
Goblet of Fire,hurried forward,5
Goblet of Fire,impediment curse,5
Goblet of Fire,injured leg,5
Goblet of Fire,king's cross,5
Goblet of Fire,left hand,5
Goblet of Fire,moody raised,5
Goblet of Fire,moody's magical,5
Goblet of Fire,pale eyes,5
Goblet of Fire,prophet article,5
Goblet of Fire,red sparks,5
Goblet of Fire,seamus finnigan,5
Goblet of Fire,silence fell,5
Goblet of Fire,silvery light,5
Goblet of Fire,skin handbag,5
Goblet of Fire,slytherin girls,5
Goblet of Fire,stone basin,5
Goblet of Fire,stone gargoyle,5
Goblet of Fire,summoning charms,5
Goblet of Fire,tea towel,5
Goblet of Fire,thin air,5
Goblet of Fire,time limit,5
Goblet of Fire,voldemort's wand,5
Goblet of Fire,walked forward,5
Goblet of Fire,wronski feint,5
Half-Blood Prince,auror office,5
Half-Blood Prince,blonde hair,5
Half-Blood Prince,blue eyes,5
Half-Blood Prince,caught sight,5
Half-Blood Prince,crooked nose,5
Half-Blood Prince,crystal bottle,5
Half-Blood Prince,dark water,5
Half-Blood Prince,dean thomas,5
Half-Blood Prince,dressing gown,5
