book,word,n
Half-Blood Prince,detention,21
Half-Blood Prince,ears,21
Half-Blood Prince,filthy,21
Half-Blood Prince,handsome,21
Half-Blood Prince,hepzibah,21
Half-Blood Prince,jinx,21
Half-Blood Prince,legs,21
Half-Blood Prince,miss,21
Half-Blood Prince,nasty,21
Half-Blood Prince,page,21
Half-Blood Prince,rosmerta,21
Half-Blood Prince,seamus,21
Half-Blood Prince,stairs,21
Half-Blood Prince,summer,21
Half-Blood Prince,swung,21
Half-Blood Prince,walk,21
Half-Blood Prince,wing,21
Half-Blood Prince,alley,20
Half-Blood Prince,arthur,20
Half-Blood Prince,boat,20
Half-Blood Prince,boxes,20
Half-Blood Prince,brother,20
Half-Blood Prince,busy,20
Half-Blood Prince,check,20
Half-Blood Prince,dare,20
Half-Blood Prince,determined,20
Half-Blood Prince,excellent,20
Half-Blood Prince,faced,20
Half-Blood Prince,failed,20
Half-Blood Prince,filled,20
Half-Blood Prince,knocked,20
Half-Blood Prince,leanne,20
Half-Blood Prince,lit,20
Half-Blood Prince,mad,20
Half-Blood Prince,mundungus,20
Half-Blood Prince,neck,20
Half-Blood Prince,pair,20
Half-Blood Prince,percy,20
Half-Blood Prince,piece,20
Half-Blood Prince,position,20
Half-Blood Prince,previous,20
Half-Blood Prince,remain,20
Half-Blood Prince,saturday,20
Half-Blood Prince,sense,20
Half-Blood Prince,seventh,20
Half-Blood Prince,shot,20
Half-Blood Prince,sky,20
Half-Blood Prince,sounds,20
Half-Blood Prince,stomach,20
Half-Blood Prince,straight,20
Half-Blood Prince,stuff,20
Half-Blood Prince,throat,20
Half-Blood Prince,trouble,20
Half-Blood Prince,truth,20
Half-Blood Prince,view,20
Half-Blood Prince,waited,20
Half-Blood Prince,waving,20
Half-Blood Prince,weasleys,20
Half-Blood Prince,annoyed,19
Half-Blood Prince,blue,19
Half-Blood Prince,bottom,19
Half-Blood Prince,careful,19
Half-Blood Prince,cole,19
Half-Blood Prince,continue,19
Half-Blood Prince,covered,19
Half-Blood Prince,cried,19
Half-Blood Prince,delighted,19
Half-Blood Prince,dursleys,19
Half-Blood Prince,hide,19
Half-Blood Prince,hoped,19
Half-Blood Prince,hundred,19
Half-Blood Prince,living,19
Half-Blood Prince,lucius,19
Half-Blood Prince,middle,19
Half-Blood Prince,noise,19
Half-Blood Prince,parents,19
Half-Blood Prince,playing,19
Half-Blood Prince,pure,19
Half-Blood Prince,purple,19
Half-Blood Prince,putting,19
Half-Blood Prince,quick,19
Half-Blood Prince,remembered,19
Half-Blood Prince,rose,19
Half-Blood Prince,rufus,19
Half-Blood Prince,sank,19
Half-Blood Prince,single,19
Half-Blood Prince,split,19
Half-Blood Prince,story,19
Half-Blood Prince,strange,19
Half-Blood Prince,sudden,19
Half-Blood Prince,terrified,19
Half-Blood Prince,test,19
Half-Blood Prince,week,19
Half-Blood Prince,weeks,19
Half-Blood Prince,wine,19
Half-Blood Prince,wondering,19
Half-Blood Prince,albus,18
Half-Blood Prince,aragog,18
Half-Blood Prince,armchair,18
Half-Blood Prince,auror,18
Half-Blood Prince,clock,18
Half-Blood Prince,contents,18
Half-Blood Prince,corridors,18
Half-Blood Prince,die,18
Half-Blood Prince,difficulty,18
Half-Blood Prince,distant,18
Half-Blood Prince,essay,18
Half-Blood Prince,falling,18
Half-Blood Prince,favorite,18
Half-Blood Prince,fear,18
Half-Blood Prince,follow,18
Half-Blood Prince,forest,18
Half-Blood Prince,hot,18
Half-Blood Prince,hurrying,18
Half-Blood Prince,invited,18
Half-Blood Prince,laughing,18
Half-Blood Prince,led,18
Half-Blood Prince,lips,18
Half-Blood Prince,lived,18
Half-Blood Prince,means,18
Half-Blood Prince,mention,18
Half-Blood Prince,mine,18
Half-Blood Prince,named,18
Half-Blood Prince,pain,18
Half-Blood Prince,pause,18
Half-Blood Prince,power,18
Half-Blood Prince,protection,18
Half-Blood Prince,recognized,18
Half-Blood Prince,romilda,18
Half-Blood Prince,silent,18
Half-Blood Prince,smell,18
Half-Blood Prince,sprout,18
Half-Blood Prince,tall,18
Half-Blood Prince,alive,17
Half-Blood Prince,allowed,17
Half-Blood Prince,apparate,17
Half-Blood Prince,attempting,17
Half-Blood Prince,badly,17
Half-Blood Prince,blank,17
Half-Blood Prince,cast,17
Half-Blood Prince,catch,17
Half-Blood Prince,caused,17
Half-Blood Prince,charm,17
Half-Blood Prince,d'you,17
Half-Blood Prince,deeply,17
Half-Blood Prince,diary,17
Half-Blood Prince,dinner,17
Half-Blood Prince,discuss,17
Half-Blood Prince,don,17
Half-Blood Prince,enter,17
Half-Blood Prince,ernie,17
Half-Blood Prince,flitwick,17
Half-Blood Prince,flying,17
Half-Blood Prince,galleons,17
Half-Blood Prince,garden,17
Half-Blood Prince,granger,17
Half-Blood Prince,grinning,17
Half-Blood Prince,handed,17
Half-Blood Prince,headmaster,17
Half-Blood Prince,hesitated,17
Half-Blood Prince,impossible,17
Half-Blood Prince,invisible,17
Half-Blood Prince,join,17
Half-Blood Prince,lane,17
Half-Blood Prince,law,17
Half-Blood Prince,mead,17
Half-Blood Prince,nervously,17
Half-Blood Prince,notice,17
Half-Blood Prince,parvati,17
Half-Blood Prince,phoenix,17
Half-Blood Prince,picked,17
Half-Blood Prince,possibly,17
Half-Blood Prince,post,17
Half-Blood Prince,refused,17
Half-Blood Prince,send,17
Half-Blood Prince,slip,17
Half-Blood Prince,smith,17
Half-Blood Prince,taught,17
Half-Blood Prince,thrown,17
Half-Blood Prince,tightly,17
Half-Blood Prince,touch,17
Half-Blood Prince,transfiguration,17
Half-Blood Prince,unable,17
Half-Blood Prince,whisper,17
Half-Blood Prince,witch,17
Half-Blood Prince,age,16
Half-Blood Prince,asleep,16
Half-Blood Prince,attacked,16
Half-Blood Prince,aware,16
Half-Blood Prince,bezoar,16
Half-Blood Prince,bin,16
Half-Blood Prince,break,16
Half-Blood Prince,burkes,16
Half-Blood Prince,captain,16
Half-Blood Prince,changed,16
Half-Blood Prince,desperately,16
Half-Blood Prince,ear,16
Half-Blood Prince,fighting,16
Half-Blood Prince,final,16
Half-Blood Prince,flames,16
Half-Blood Prince,frowning,16
Half-Blood Prince,gaze,16
Half-Blood Prince,giant,16
Half-Blood Prince,halfway,16
Half-Blood Prince,hokey,16
Half-Blood Prince,impression,16
Half-Blood Prince,inferi,16
Half-Blood Prince,invitation,16
Half-Blood Prince,knife,16
Half-Blood Prince,moon,16
Half-Blood Prince,murder,16
Half-Blood Prince,opposite,16
Half-Blood Prince,paper,16
Half-Blood Prince,persuade,16
Half-Blood Prince,poison,16
Half-Blood Prince,practice,16
Half-Blood Prince,shocked,16
Half-Blood Prince,sounding,16
Half-Blood Prince,tip,16
Half-Blood Prince,understood,16
Half-Blood Prince,waved,16
Half-Blood Prince,wind,16
Half-Blood Prince,worse,16
Half-Blood Prince,act,15
Half-Blood Prince,answered,15
Half-Blood Prince,anymore,15
Half-Blood Prince,brain,15
Half-Blood Prince,broom,15
Half-Blood Prince,broomsticks,15
Half-Blood Prince,carefully,15
Half-Blood Prince,correct,15
Half-Blood Prince,crack,15
Half-Blood Prince,creatures,15
Half-Blood Prince,cross,15
Half-Blood Prince,demelza,15
Half-Blood Prince,disappointed,15
Half-Blood Prince,dormitory,15
Half-Blood Prince,dungeon,15
Half-Blood Prince,easy,15
Half-Blood Prince,explain,15
Half-Blood Prince,fall,15
Half-Blood Prince,finish,15
Half-Blood Prince,flash,15
Half-Blood Prince,gasped,15
Half-Blood Prince,gazing,15
Half-Blood Prince,harrys,15
Half-Blood Prince,helped,15
Half-Blood Prince,hex,15
Half-Blood Prince,hufflepuff,15
Half-Blood Prince,huge,15
Half-Blood Prince,ignoring,15
Half-Blood Prince,jumped,15
Half-Blood Prince,kindly,15
Half-Blood Prince,lamp,15
Half-Blood Prince,marble,15
Half-Blood Prince,mass,15
Half-Blood Prince,minute,15
Half-Blood Prince,moments,15
Half-Blood Prince,muggles,15
Half-Blood Prince,muttering,15
Half-Blood Prince,myrtle,15
Half-Blood Prince,nearest,15
Half-Blood Prince,note,15
Half-Blood Prince,prepared,15
Half-Blood Prince,pretending,15
Half-Blood Prince,raising,15
Half-Blood Prince,reading,15
Half-Blood Prince,roared,15
Half-Blood Prince,rolled,15
Half-Blood Prince,save,15
Half-Blood Prince,screamed,15
Half-Blood Prince,secret,15
Half-Blood Prince,sirius's,15
Half-Blood Prince,slytherins,15
Half-Blood Prince,spite,15
Half-Blood Prince,staggered,15
Half-Blood Prince,striding,15
Half-Blood Prince,suggested,15
Half-Blood Prince,teach,15
Half-Blood Prince,uncomfortable,15
Half-Blood Prince,undoubtedly,15
Half-Blood Prince,werewolf,15
Half-Blood Prince,afternoon,14
