book,index,negative,positive,sentiment
Order of the Phoenix,283,74,26,-0.48
Order of the Phoenix,284,66,34,-0.32
Order of the Phoenix,285,69,31,-0.38
Order of the Phoenix,286,69,31,-0.38
Order of the Phoenix,287,74,26,-0.48
Order of the Phoenix,288,68,32,-0.36
Order of the Phoenix,289,70,30,-0.4
Order of the Phoenix,290,60,40,-0.2
Order of the Phoenix,291,63,37,-0.26
Order of the Phoenix,292,63,37,-0.26
Order of the Phoenix,293,65,35,-0.3
Order of the Phoenix,294,69,31,-0.38
Order of the Phoenix,295,78,22,-0.56
Order of the Phoenix,296,66,34,-0.32
Order of the Phoenix,297,77,23,-0.54
Order of the Phoenix,298,76,24,-0.52
Order of the Phoenix,299,59,41,-0.18
Order of the Phoenix,300,67,33,-0.34
Order of the Phoenix,301,68,32,-0.36
Order of the Phoenix,302,58,42,-0.16
Order of the Phoenix,303,83,17,-0.66
Order of the Phoenix,304,68,32,-0.36
Order of the Phoenix,305,62,38,-0.24
Order of the Phoenix,306,62,38,-0.24
Order of the Phoenix,307,71,29,-0.42
Order of the Phoenix,308,73,27,-0.46
Order of the Phoenix,309,81,19,-0.62
Order of the Phoenix,310,56,44,-0.12
Order of the Phoenix,311,65,35,-0.3
Order of the Phoenix,312,65,35,-0.3
Order of the Phoenix,313,59,41,-0.18
Order of the Phoenix,314,70,30,-0.4
Order of the Phoenix,315,69,31,-0.38
Order of the Phoenix,316,64,36,-0.28
Order of the Phoenix,317,68,32,-0.36
Order of the Phoenix,318,76,24,-0.52
Order of the Phoenix,319,72,28,-0.44
Order of the Phoenix,320,56,44,-0.12
Order of the Phoenix,321,58,42,-0.16
Order of the Phoenix,322,68,32,-0.36
Order of the Phoenix,323,76,24,-0.52
Order of the Phoenix,324,71,29,-0.42
Order of the Phoenix,325,76,24,-0.52
Order of the Phoenix,326,67,33,-0.34
Order of the Phoenix,327,75,25,-0.5
Order of the Phoenix,328,73,27,-0.46
Order of the Phoenix,329,62,38,-0.24
Order of the Phoenix,330,66,34,-0.32
Order of the Phoenix,331,74,26,-0.48
Order of the Phoenix,332,86,14,-0.72
Order of the Phoenix,333,80,20,-0.6
Order of the Phoenix,334,81,19,-0.62
Order of the Phoenix,335,79,21,-0.58
Order of the Phoenix,336,81,19,-0.62
Order of the Phoenix,337,69,31,-0.38
Order of the Phoenix,338,67,33,-0.34
Order of the Phoenix,339,67,33,-0.34
Order of the Phoenix,340,73,27,-0.46
